review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20251105-842064,CUST-10480,REST-DXB-002,Enjoyed the Chole Bhature  Samosa (2 pcs)  Rasmalai (2 pcs)  and Tandoori Roti! Samosa (2 pcs) was very good. Portion sizes were generous. Recommend!,4,2025-11-08T20:58:43.879076
REV-000001,ORD-20251104-368904,CUST-10118,REST-DXB-002,Incredible meal! Aloo Tikki Chaat  Naan  Kulfi  Paneer Tikka  and Butter Naan arrived hot and fresh. The Aloo Tikki Chaat was absolutely divine. Highly satisfied!,5,2025-11-11T18:33:37.879076
REV-000004,ORD-20251114-450205,CUST-10352,REST-AUH-002,Enjoyed the Naan! Naan was very good. Portion sizes were generous. Recommend!,4,2025-11-19T15:32:32.879076
REV-000003,ORD-20251114-158405,CUST-10448,REST-AUH-001,Wow! Just wow! Gulab Jamun (2 pcs)  Mango Lassi  Chicken Tikka Masala  and Aloo Tikki Chaat were all fantastic. Chicken Tikka Masala was particularly memorable. Can't wait to order again!,5,2025-11-21T13:17:25.879076
REV-000007,ORD-20251122-927722,CUST-10499,REST-SHJ-001,Hands down the best Rasmalai (2 pcs) I've ever had! Aloo Tikki Chaat  Lamb Rogan Josh  Gajar Halwa  and Rasmalai (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-11-23T20:17:18.879076
REV-000006,ORD-20251121-143863,CUST-10348,REST-AUH-001,Below expectations. Butter Chicken  Paneer Tikka  Butter Naan  and Lamb Rogan Josh were underwhelming. Butter Chicken was overcooked and dry.,2,2025-11-25T14:03:43.879076
REV-000005,ORD-20251120-319048,CUST-10459,REST-AUH-001,Incredible meal! Dal Makhani  Mango Lassi  Fresh Lime Soda  Chicken Tikka Masala  and Gajar Halwa arrived hot and fresh. The Chicken Tikka Masala was absolutely divine. Highly satisfied!,5,2025-11-26T17:25:14.879076
REV-000008,ORD-20251129-104118,CUST-10192,REST-DXB-002,Very satisfied! Jeera Rice and Butter Naan were fresh and flavorful. Jeera Rice was the standout dish.,4,2025-12-01T14:14:36.879076
REV-000009,ORD-20251203-360100,CUST-10040,REST-AUH-001,Hands down the best Jeera Rice I've ever had! Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2025-12-10T17:17:07.879076
REV-000010,ORD-20251204-408825,CUST-10133,REST-DXB-001,Great food overall. Chicken Seekh Kebab and Tandoori Roti were tasty  especially the Chicken Seekh Kebab. Would order again!,4,2025-12-11T17:56:55.879076
REV-000011,ORD-20251206-853500,CUST-10393,REST-AUH-001,Hands down the best Rasmalai (2 pcs) I've ever had! Rasmalai (2 pcs)  Samosa (2 pcs)  Masala Chai  and Gajar Halwa were all prepared beautifully. Fresh and flavorful!,5,2025-12-13T10:44:21.879076
REV-000012,ORD-20251211-690259,CUST-10126,REST-DXB-002,Outstanding experience! The Jeera Rice  Garlic Naan  and Fresh Lime Soda exceeded all expectations. Jeera Rice was the star of the meal. Will definitely order again!,5,2025-12-17T12:37:16.879076
REV-000015,ORD-20251216-535652,CUST-10486,REST-SHJ-001,Absolutely amazing Aloo Tikki Chaat! The Aloo Tikki Chaat was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-19T20:54:36.879076
REV-000013,ORD-20251216-327922,CUST-10199,REST-DXB-002,Incredible meal! Chicken 65  Naan  and Aloo Tikki Chaat arrived hot and fresh. The Aloo Tikki Chaat was absolutely divine. Highly satisfied!,5,2025-12-21T11:40:11.879076
REV-000014,ORD-20251216-189057,CUST-10253,REST-DXB-002,Very satisfied! Chicken Biryani  Garlic Naan  Tandoori Roti  Naan  and Paneer Butter Masala were fresh and flavorful. Naan was the standout dish.,4,2025-12-23T16:07:42.879076
REV-000016,ORD-20251218-674455,CUST-10120,REST-DXB-001,Hands down the best Chicken Seekh Kebab I've ever had! Chicken 65  Vegetable Biryani  Chicken Seekh Kebab  and Gulab Jamun (2 pcs) were all prepared beautifully. Fresh and flavorful!,5,2025-12-25T14:06:47.879076
REV-000017,ORD-20251224-394690,CUST-10035,REST-DXB-002,Perfect in every way! Naan were all excellent. Naan stood out with its rich  authentic taste.,5,2025-12-29T18:49:03.879076
REV-000019,ORD-20251228-789439,CUST-10023,REST-SHJ-001,Mixed feelings. Butter Chicken  Chole Bhature  Garlic Naan  and Samosa (2 pcs) were acceptable. Chole Bhature was decent but portion was small for the price.,3,2025-12-31T14:16:07.879076
REV-000018,ORD-20251227-595039,CUST-10340,REST-AUH-001,Wow! Just wow! Paneer Tikka were all fantastic. Paneer Tikka was particularly memorable. Can't wait to order again!,5,2026-01-01T17:09:29.879076
REV-000020,ORD-20251231-456433,CUST-10280,REST-DXB-002,Outstanding experience! The Gajar Halwa exceeded all expectations. Gajar Halwa was the star of the meal. Will definitely order again!,5,2026-01-05T10:27:42.879076
REV-000021,ORD-20260104-882260,CUST-10154,REST-AUH-001,Hands down the best Paneer Butter Masala I've ever had! Paneer Butter Masala were all prepared beautifully. Fresh and flavorful!,5,2026-01-06T12:47:36.879076
